symbol,censor_rate,alpha_gap,floor_binds
EPQL,0.007653061224489796,-0.001112187389716121,0.03291139240506329
ESBL,0.17543859649122806,0.2699564173655465,0.7375
EXIDE,0.15342465753424658,0.13307817309280157,0.0
FABL,0.025252525252525252,0.006656292998944324,0.255050505050505
FATIMA,0.01256281407035176,-0.00810874771553266,0.0
FCCL,0.0625,0.07058704088922205,0.515
FCEPL,0.0825,0.039758650509977345,0.0
FCSC,0.0,-1.612873606893217e-08,1.0
FDIBL,0.0025,0.005672959920898224,1.0
FDPL,0.0025,0.005672959920898224,1.0
FEROZ,0.18,0.05056121257800565,0.0
FFBL,0.075,0.03145453135513687,0.31
FFC,0.015,0.00601990042503503,0.0
FFL,0.1575,0.08941755614575236,0.435
FML,0.03116883116883117,0.2781138561395511,0.0
GAIL,0.0025,0.013704455754374845,1.0
GAL,0.21,0.09134419233996599,0.0
GATM,0.02756892230576441,0.006813488744567581,0.0
GGGL,0.020356234096692113,0.009738964507354037,1.0
GGL,0.0275,0.003742861430292385,1.0
GHGL,0.02278481012658228,0.00866240108205639,0.0
GHNI,0.18546365914786966,0.09637611778263297,0.0
GLAXO,0.06516290726817042,0.05401474850885679,0.0
GSKCH,0.05897435897435897,0.02743911365012905,0.0
GTYR,0.15869017632241814,0.16759712196101498,0.0
GVGL,0.11815561959654179,0.10560389030530085,0.0
GWLC,0.05025125628140704,0.02320970653979927,0.87468671679198
HASCOL,0.24181360201511334,0.1317952966127639,0.0025
HBL,0.02,0.025933562328738613,0.0
HCAR,0.2236180904522613,0.13645735474354753,0.0
HINOON,0.050505050505050504,0.01791081780916981,0.0
HIRAT,0.007614213197969543,0.004268397741569008,1.0
HMB,0.01020408163265306,0.01928687222312725,0.0
HSM,0.10511363636363637,0.032675053993152015,0.5750708215297451
HTL,0.145,0.14745019694497313,0.065
HUBC,0.0225,0.008687062716637606,0.0
HUMNL,0.0,0.0,1.0
HWQS,0.005405405405405406,0.002114507031718338,1.0
IBLHL,0.17142857142857143,0.12944030214957908,0.0
ICI,0.01282051282051282,0.003838568349228147,0.0
ICIBL,0.0,0.0,1.0
ICL,0.060453400503778336,0.06438167537519071,0.11306532663316583
INDU,0.03007518796992481,0.04471865964531735,0.0
INIL,0.10275689223057644,0.056888538037467684,0.0
ISL,0.1025,0.03151891872053955,0.0
ITTEFAQ,0.022556390977443608,0.04581241372962033,1.0
JSBL,0.0,-1.6358418231110505e-09,1.0
JSCL,0.03759398496240601,0.01908051469762173,1.0
