symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
ANL,2476,0.029079159935379646,0.00010474552157782629,0.15749963486801424,0.7448635831104701,5127.17758218426,True,0.00010135871624540932,0.18906093679873753,0.7380906748842201,4825.910155729343,True,0.00010673243192085347,0.1717047520378609,0.7383861036136836,4825.495326117307,True,0.014205117169846654,0.03156130193072329,False,
ANSM,1029,0.13022351797862003,0.0002747049531763297,0.20566359037754384,0.653932381597931,1809.8879693918987,True,0.00039833434857585365,0.414466093548817,0.5428162527631302,1330.979645381291,True,0.00046498764870983356,0.36285942834985907,0.49010215641518784,1349.858561725785,True,0.15719583797231523,0.2088025031712732,False,
ANTM,718,0.12395543175487465,0.000641692529401075,0.18794068533240954,0.5702111085005801,1130.506024085713,True,0.0007984121850080941,0.38395301642455093,0.487590109359093,820.7065463487626,True,0.001058622539418485,0.3312149842686317,0.38781761240286783,826.6470250418656,True,0.14327429893622218,0.1960123310921414,False,
APL,2468,0.007293354943273906,3.379735347968529e-05,0.16337767261755143,0.7308590969290323,6659.278571756122,True,3.584640484442271e-05,0.181110328416051,0.7137664030877139,6572.547793124098,True,3.743088966155295e-05,0.17704911130744283,0.7086064092309181,6572.607924081777,True,0.013671438689891402,0.017732655798499558,False,
ARCTM,1292,0.12616099071207432,6.70829025479786e-05,0.21922093751783805,0.780779062481046,2050.5340820999204,True,0.0001209061736024116,0.25619760338138753,0.7438023966184699,1517.7639285732857,True,9.041214657811293e-05,0.2445558585653817,0.755444141434392,1526.7738369968704,True,0.025334921047543646,0.036976665863549474,True,
ARPL,2374,0.011794439764111205,2.3176696198481843e-05,0.09333320710674531,0.8421122159506287,6212.744484378804,True,2.2927112942715658e-05,0.10205362861052061,0.8395170893617738,6074.20647992596,True,2.519999777162645e-05,0.09948067501673691,0.8323043090537985,6073.321388156382,True,0.0061474679099916,0.008720421503775305,False,
ARUJ,1204,0.16196013289036545,0.00011492292900309537,0.17520785534773398,0.7791878889150559,2037.1919761513325,True,0.00022317886575947082,0.3070756880397316,0.6929243119601669,1351.8717839403205,True,0.00022526444709623772,0.2577974601469808,0.6862105064019102,1359.4069483879912,True,0.08258960479924682,0.13186783269199764,False,
ASC,2473,0.034775576223210675,0.0001559335374075793,0.21316148984360506,0.6207133077373008,5305.607819517492,True,0.00016611478278042395,0.26530977445168313,0.5961035889627453,4943.373416729478,True,0.00019037187622929425,0.25432367870923783,0.5638430050311996,4944.885563016579,True,0.041162188865632776,0.05214828460807808,False,
ASHT,1140,0.1631578947368421,0.00023801856105040036,0.1772591748815307,0.7559551193014766,1678.5886573555963,True,0.0005024229182802435,0.3974443574958568,0.6025556425036822,1077.6873628654187,True,0.00046359846115439366,0.28811482879073,0.633421480039259,1081.2286113732282,True,0.11085565390919933,0.22018518261432612,False,
ASL,2476,0.023021001615508886,7.175572612605628e-05,0.09695231076407135,0.8173568978469011,5336.675602160046,True,6.307087525026407e-05,0.10603611321662124,0.8279665758245942,5087.300340944845,True,6.9647052405775e-05,0.10048214156427973,0.8210370627062165,5087.773781991875,True,0.0035298308002083834,0.009083802452549888,False,
ASTL,2471,0.04734925131525698,9.447852817885333e-05,0.15721675630372495,0.7240574871446701,5459.150485249845,True,0.00010383918189422217,0.21806620395596488,0.6900228552195928,4957.052219137528,True,0.0001190123370709815,0.19358204855784877,0.6749945693382133,4960.3429317991595,True,0.03636529225412383,0.06084944765223993,False,
ASTM,2016,0.10615079365079365,0.0002238045237371376,0.1478628163407724,0.7741096467412334,3147.861721263386,True,0.00019716332632152734,0.24110827767280552,0.7588917223262732,2430.8979650635692,True,0.00032396295675111915,0.22357905059070032,0.6977888477442982,2455.1176513789883,True,0.07571623424992793,0.09324546133203312,False,
ATBA,2402,0.06411323896752706,9.285179783704239e-05,0.13957659789003024,0.7263639509332942,5453.805061716663,True,0.00010224486808447288,0.2037671585450015,0.7001234673325903,4781.954762123151,True,0.00011876082345180931,0.18688019190645383,0.6716439539185332,4796.523306152447,True,0.04730359401642359,0.06419056065497125,False,
