symbol,n,censor_rate,alpha_n,beta_n,nu_n,ok_n,alpha_c,nu_c,ok_c,alpha_l,beta_l,nu_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
BAFL,2469,0.008910490076954233,0.18922079720804108,0.735126917495641,3.9937279801494627,True,0.21846094814798306,3.549809830209426,True,0.183463441637259,0.7077280865450435,3.8577761652156353,True,-0.00575735557078208,0.029240150939941978,False,
BAHL,2469,0.0064803564196030785,0.163591712100293,0.7967123829768853,3.248057199751549,True,0.18329941321174004,3.029668876535194,True,0.14733184656634934,0.7934831083558542,3.158772078706836,True,-0.01625986553394365,0.01970770111144704,False,
BAPL,1985,0.1269521410579345,0.10970622908362201,0.8541905167570785,199.99999988888504,True,0.40532392218044255,4.100558788009167,True,0.33093311249240864,0.5802590925832194,3.5680048331023198,True,0.22122688340878663,0.2956176930968205,True,
BATA,2014,0.022840119165839126,0.25256893042475576,0.7474310695752389,3.5054785749530923,True,0.2523024315719207,3.3537396542712665,True,0.25359867677315007,0.7464013232268341,3.14700103482272,True,0.0010297463483943115,-0.0002664988528350287,True,
BBFL,533,0.020637898686679174,0.22493820317584595,0.7750613861935258,3.257873176589925,True,0.24952283962790267,3.0957527116527648,True,0.20200499777487896,0.7728588216557237,3.06998743270423,True,-0.022933205400966994,0.02458463645205672,True,
BCL,2351,0.09017439387494683,0.21548096963374555,0.65985480541644,18.470295213764864,True,0.4073396488141854,5.070417135875764,True,0.3091672017530959,0.6053848901639923,4.26316991642082,True,0.09368623211935037,0.19185867918043983,False,
BECO,1246,0.0521669341894061,0.2220993553211248,0.7445205530722661,4.289343364060559,True,0.3342644367076469,3.411696013507049,True,0.35254920262967476,0.5539900825587146,2.814512874479446,True,0.13044984730854997,0.11216508138652209,False,
BELA,752,0.14095744680851063,0.20564804894862937,0.41293789732001096,2.390636858332806,True,0.9189022392350702,2.8249279528596993,True,0.9225479120829435,0.07745208791700747,2.594755584618529,True,0.7168998631343142,0.7132541902864409,True,
BERG,2278,0.0504828797190518,0.23753906108184353,0.7054534374886272,5.00166040519118,True,0.3656774540887985,3.4872407225359345,True,0.27606724265659416,0.625107397613207,3.2092584643086326,True,0.03852818157475063,0.12813839300695495,False,
BGL,2476,0.04240710823909531,0.3078381921140837,0.679760728553106,3.534041768638129,True,0.3554147011399491,3.0728491145799115,True,0.2798822570899069,0.6127854146657554,3.048072809359025,True,-0.027955935024176815,0.04757650902586541,False,
