dist,L,seed,censor_rate,alpha_naive,alpha_partial,alpha_latent
t,0.04,39,0.0368,0.12290011715704877,0.16879528256236906,0.13446707826707668
t,0.04,40,0.0456,0.13233215875845064,0.208503375254779,0.14558120322559054
t,0.04,41,0.0432,0.13447022272340664,0.1960800152567312,0.14752675111293018
t,0.04,42,0.0468,0.15032266917645049,0.2422249630919052,0.18975096475674305
t,0.04,43,0.0348,0.11328854896611328,0.15446070483973784,0.1288791629278356
t,0.04,44,0.0448,0.14644466188425176,0.22007537295259072,0.15150663709485707
t,0.04,45,0.0552,0.11098588326145686,0.1671304521593189,0.1332169201805043
t,0.04,46,0.0396,0.12516193131301181,0.18758460880512684,0.15399760236544557
t,0.04,47,0.0492,0.14216144710371686,0.21653721953745106,0.15998385975628224
t,0.04,48,0.0292,0.10457830429071806,0.14076668575142595,0.11034224698774997
t,0.04,49,0.0368,0.12349800085287455,0.17920655636362595,0.13822286396307865
t,0.03,0,0.078,0.12357370055154908,0.23957372748885344,0.15784979247223102
t,0.03,1,0.1004,0.10141264170229844,0.21426538642740758,0.15319916716249266
t,0.03,2,0.0936,0.09677236135647385,0.15684139713589895,0.14326070469810817
t,0.03,3,0.1124,0.11799494023306936,0.1967104363116664,0.17215227331622523
t,0.03,4,0.0876,0.1481939198538198,0.27480930888804445,0.2165501788098254
t,0.03,5,0.12,0.11063054026659472,0.20909668693721978,0.16547260733975416
t,0.03,6,0.0876,0.11448823610557424,0.2006382933510834,0.15951185683047722
t,0.03,7,0.0776,0.11283901611496645,0.22861272304155483,0.14084226049329007
t,0.03,8,0.11,0.10550436931439247,0.17873322453788837,0.15172703001928117
t,0.03,9,0.1376,0.10503051212937986,0.2061901326770897,0.17655308091894145
t,0.03,10,0.1016,0.12634988003994452,0.2517095103258949,0.17067225922235651
t,0.03,11,0.092,0.14617368401959063,0.2795964728913732,0.19224206433728216
t,0.03,12,0.086,0.13213415739685133,0.19897466725309332,0.16590497539887752
t,0.03,13,0.0836,0.11125120961561667,0.19235632687511964,0.1671181553535545
t,0.03,14,0.0924,0.11409415006204372,0.18310017296493009,0.15382691550181057
t,0.03,15,0.0736,0.10138518503077965,0.18653007909055913,0.15579045557565202
t,0.03,16,0.1092,0.12059073245265291,0.23913016283824134,0.18113888820718094
t,0.03,17,0.0804,0.15633002937865825,0.2772419942947436,0.2038246387422184
t,0.03,18,0.1124,0.1271120538099203,0.24540247633134438,0.18724137664983698
t,0.03,19,0.0892,0.11352201303811141,0.16352300973005834,0.17228066348395393
t,0.03,20,0.0912,0.1121610973944002,0.21407471519231852,0.15987085872096835
t,0.03,21,0.0768,0.10484934114729158,0.19397691849028664,0.12374792559323691
t,0.03,22,0.0776,0.12004307201343271,0.19946309557310582,0.15007847750529305
t,0.03,23,0.0992,0.0931679832907961,0.18066153424040995,0.12689741556220924
t,0.03,24,0.0956,0.11481360104229554,0.2524514666665151,0.14536451733596062
t,0.03,25,0.1364,0.10535581257864138,0.2133825118750151,0.1870618570205293
t,0.03,26,0.0848,0.11486903847592132,0.19376801204197405,0.1579058836327341
t,0.03,27,0.0816,0.13775880590061054,0.2413570686094262,0.18900693877124927
t,0.03,28,0.082,0.10789092633326655,0.19434681421532096,0.15298376947832676
t,0.03,29,0.0848,0.1066122950909543,0.18323010140551135,0.14615820400348428
t,0.03,30,0.082,0.1440310280194558,0.2280544195740227,0.17622474008430436
t,0.03,31,0.136,0.11702816435966568,0.16008970233114594,0.19717221868376844
t,0.03,32,0.0728,0.1175266524853978,0.20020621889470863,0.14811797448070768
t,0.03,33,0.072,0.10981381154357368,0.15584074950041404,0.13869444487492685
t,0.03,34,0.0992,0.10960131659278309,0.19341408333214474,0.14366114320947837
t,0.03,35,0.0924,0.09542208200681493,0.16204525876676792,0.1544162634653638
t,0.03,36,0.0836,0.11666482873570096,0.23551746753265057,0.14061468372215905
t,0.03,37,0.1016,0.11250372298056636,0.1807946574662756,0.15343245977686903
t,0.03,38,0.0716,0.10621414040601627,0.19925409518012346,0.13798233883010108
t,0.03,39,0.0752,0.10206006417701116,0.19813204000013374,0.1386904959921385
t,0.03,40,0.0928,0.10647457842961339,0.2008803694000405,0.14735653651318936
t,0.03,41,0.0844,0.11594234980879473,0.23745731659552735,0.1552631953814046
t,0.03,42,0.0948,0.11822001957747505,0.24296105877048038,0.2026651203883607
t,0.03,43,0.0772,0.09393456540782266,0.1719234599362411,0.12548088762033305
t,0.03,44,0.094,0.12230195824600822,0.2533516777185516,0.1504015142148715
t,0.03,45,0.1068,0.10176345868037505,0.15469512289140902,0.14007643372597833
t,0.03,46,0.0796,0.10095337637960318,0.20375231302822533,0.1492197368834039
t,0.03,47,0.1008,0.12314697213086144,0.23015022686101588,0.16236401162356917
t,0.03,48,0.0756,0.09296993411778094,0.17311052434627705,0.1112524253533212
t,0.03,49,0.0848,0.10517833380902776,0.16715083822996135,0.1333543776630452
