symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error,regime
AGHA,544,0.016544117647058824,0.00029429328874043515,0.3698453519417816,0.3458404366965147,1174.973381825851,True,0.0002842330113547138,0.4547161778065507,0.331351336451841,1142.6028779758476,True,0.0003183655686901448,0.45658786389796385,0.2802415833468686,1144.7370977284013,True,0.08674251195618227,0.08487082586476913,False,,10.0%
AGIC,641,0.046801872074883,6.519140485920072e-05,0.18394359170819674,0.7136338856380575,1495.4095482590844,True,6.8890981335648e-05,0.25902551674226726,0.6751326685913166,1365.778621603887,True,7.314065991670896e-05,0.2246859001131702,0.6772135797607477,1365.008659787468,True,0.04074230840497345,0.07508192503407052,False,,5.0%
AGIC,836,0.005980861244019139,3.4687620030012076e-05,0.12948661173541368,0.8182609441207185,1944.6101286121768,True,3.44733750945133e-05,0.13462914500684664,0.8164605342948626,1921.4376293304665,True,3.499863103346349e-05,0.13029652961570995,0.8171319751557713,1920.9171874660585,True,0.0008099178802962737,0.005142533271432964,False,,7.5%
AGIC,541,0.009242144177449169,0.00013430578008230852,0.11080519105900094,0.6760322958541634,1242.8663369547116,True,0.00012838213140423774,0.11853440854868885,0.6856910211762459,1218.3061895421977,True,0.0001327977309524535,0.11342263756858818,0.6808736901841127,1218.182092641243,True,0.002617446509587243,0.007729217489687912,False,,10.0%
AGIL,706,0.05807365439093484,0.00021218120595132314,0.18204654877558255,0.45596684318523395,1641.0334408288668,True,0.00020777743895160873,0.24079981963876518,0.4741753126354652,1459.1793624063341,True,0.0002563744298388333,0.23576283274019055,0.3837192309281746,1462.186080926418,True,0.05371628396460801,0.05875327086318263,False,,5.0%
AGIL,852,0.025821596244131457,4.054202522207061e-05,0.06320561602642137,0.8843247685618292,1866.168103951377,True,5.248410518250601e-05,0.07913395659766953,0.860604947699261,1764.2439909619936,True,4.436326486390004e-05,0.06624719563067194,0.8795163949439813,1765.1165908253024,True,0.003041579604250569,0.01592834057124816,False,,7.5%
AGIL,544,0.02022058823529412,0.0003286476592625697,0.28743679242272396,0.3083875407379989,1202.9786168481057,True,0.00033906049930769564,0.3492574464919245,0.2849360677816756,1153.7921452426351,True,0.0003607692473302095,0.34051636674867547,0.2549601517621346,1153.3500979270216,True,0.053079574325951506,0.06182065406920051,False,,10.0%
AGL,820,0.01951219512195122,0.00020027477527584245,0.12547785540541556,0.7763385932783666,1444.853749554794,True,0.00020434071325480034,0.1359725582775348,0.7742665501622228,1377.1646418890648,True,0.000214222220945819,0.12933148441582218,0.7702332993423224,1376.1414938320813,True,0.0038536290104066173,0.010494702872119233,False,,5.0%
AGL,1034,0.030947775628626693,9.243669520919056e-05,0.11694840165247539,0.8342611012266448,1900.8009471784633,True,8.692394118255422e-05,0.14383089443754593,0.8279605988856871,1772.088710187349,True,9.607769020264543e-05,0.1251773622514552,0.8295567340714942,1770.62649081688,True,0.008228960598979818,0.026882492785070544,False,,7.5%
AGL,544,0.04595588235294118,0.00016741049704869433,0.21968943271740943,0.6576494090821432,1085.6509502785257,True,0.00017111183790026173,0.27493467266100347,0.6469897721973995,980.9751839147631,True,0.00021664480923363905,0.2659859851966672,0.5987306741975642,980.225447726347,True,0.04629655247925779,0.05524523994359404,False,,10.0%
AGP,458,0.0611353711790393,0.00025243205110640895,0.17047848426447554,0.38564099249274336,1065.3255067778325,True,0.0003607233018201901,0.26008463030133167,0.20940079093236758,939.9983238711687,True,0.0003984500886009687,0.23550978276077328,0.14954881951899265,940.9439390025132,True,0.06503129849629774,0.08960614603685613,False,,5.0%
AGP,1034,0.017408123791102514,0.00011306412946685713,0.16790075824185635,0.6125016454525194,2486.345454002368,True,0.00012696664632310759,0.20074222435627978,0.5719778889411633,2400.6965178229298,True,0.00013565661032060092,0.19455532713067614,0.5549035230363152,2401.6631164119717,True,0.026654568888819785,0.03284146611442343,False,,7.5%
AGP,544,0.02022058823529412,4.1320776516048975e-05,0.11934025247772959,0.8209422934103341,1273.0501806144543,True,3.986543956764217e-05,0.13820023716614083,0.8170710942317729,1220.4578959637658,True,4.1273580935347675e-05,0.12285234903218473,0.822041877142178,1219.952317835118,True,0.003512096554455141,0.01885998468841124,False,,10.0%
AGSML,982,0.03054989816700611,0.00020191392006116716,0.10804343878742612,0.7968924621481528,1670.852397686633,True,0.00023505579383909842,0.13767819056727243,0.7686025180122931,1552.3905679115478,True,0.0013902819826400465,0.32204625715780666,0.08496928827361061,1553.0872127915816,True,0.21400281837038054,0.029634751779846313,False,,7.5%
AGSML,543,0.027624309392265192,7.052714849663729e-05,0.14243744129525715,0.8161567439534199,1045.7818103782356,True,8.649117781317427e-05,0.18271540300966924,0.7840027749179235,982.3505173393551,True,9.300276071019429e-05,0.16610918848499873,0.7848191621267502,982.2519571408354,True,0.023671747189741577,0.040277961714412086,False,,10.0%
AGTL,813,0.03444034440344403,0.00010391085531987484,0.20959535664954185,0.49987621487212747,2107.2675813202086,True,0.0001129053780390305,0.2908923685442726,0.4490851353807921,1979.804561742533,True,0.00014838293089038245,0.30917768250227406,0.3246571364364724,1986.939085339024,True,0.09958232585273222,0.08129701189473074,False,,5.0%
AGTL,1008,0.015873015873015872,2.208972378207003e-05,0.18479643629531228,0.7720400591809333,2636.9849342803736,True,2.119860893834215e-05,0.21562324584654408,0.7608839991090106,2558.44713893278,True,2.222654097671392e-05,0.20063250608429542,0.7635707605270521,2556.509728499682,True,0.015836069788983137,0.030826809551231793,False,,7.5%
AGTL,544,0.014705882352941176,6.588705170606131e-05,0.13530483353561268,0.74740632042897,1308.7984145763398,True,6.426643093405043e-05,0.15113011608218208,0.7467909587716335,1270.6885918309083,True,6.709788157142531e-05,0.1422791951856739,0.7442179567244507,1270.2800492136446,True,0.0069743616500612116,0.015825282546569397,False,,10.0%
AHCL,792,0.039141414141414144,3.963070585373005e-05,0.1266883519376863,0.7869811492767813,1945.4674266938591,True,3.678322418096273e-05,0.15632243093838882,0.7839195795990945,1807.1924369953226,True,4.5576754324285244e-05,0.14894752612709317,0.7614750990864503,1809.1627504197247,True,0.022259174189406872,0.02963407900070253,False,,5.0%
